Samples,Study,Similarity,Signature Subs-01,Signature Subs-02,Signature Subs-03,Signature Subs-04,Signature Subs-05,Signature Subs-08,Signature Subs-12,Signature Subs-13,Signature Subs-17a,Signature Subs-17b,Signature Subs-18,Signature Subs-33,Signature Subs-40,Signature Subs-42
NSLC-0092-T06,EAGLE - NCI,0.76,402,266,0,0,1250,0,0,150,0,0,0,0,2916,0
NSLC-0092-T07,EAGLE - NCI,1,449,132,0,0,1139,0,0,94,0,0,0,0,3294,0
NSLC-0092-T08,EAGLE - NCI,0.83,386,176,0,0,1106,0,0,86,0,0,0,0,2964,0
NSLC-0093-T01,EAGLE - NCI,0.84,439,0,0,0,1140,0,0,0,0,0,0,0,2340,0
NSLC-0094-T01,EAGLE - NCI,0.9199999999999999,6,0,0,0,99,43,0,0,0,0,0,0,0,0
NSLC-0095-T01,EAGLE - NCI,0.9099999999999999,282,0,0,0,1386,0,0,0,0,0,415,0,1844,0
NSLC-0096-T01,EAGLE - NCI,0.96,29,0,0,0,39,0,0,0,0,0,0,0,154,0
NSLC-0097-T01,EAGLE - NCI,0.86,207,0,0,0,868,0,0,0,0,0,0,0,1219,0
NSLC-0098-T02,EAGLE - NCI,0.9099999999999999,58,0,0,0,1621,571,0,0,0,0,0,0,0,0
NSLC-0098-T04,EAGLE - NCI,0.7,43,0,0,0,1601,558,0,0,0,0,0,0,0,0
NSLC-0100-T01,EAGLE - NCI,0.7799999999999999,175,405,0,0,639,0,0,364,0,0,0,0,1082,0
NSLC-0100-T02,EAGLE - NCI,0.95,227,664,0,0,826,0,0,640,0,0,0,0,1237,0
NSLC-0100-T03,EAGLE - NCI,0.8899999999999999,6,7,0,0,79,0,0,13,0,0,0,0,63,0
NSLC-0100-T04,EAGLE - NCI,0.9199999999999999,186,535,0,0,739,0,0,476,0,0,0,0,1077,0
NSLC-0101-T01,EAGLE - NCI,0.7799999999999999,546,2302,0,0,1805,0,0,1338,0,0,0,0,3341,0
NSLC-0102-T01,EAGLE - NCI,0.86,140,0,0,0,783,0,0,0,0,0,812,0,2014,0
NSLC-0103-T01,EAGLE - NCI,0.7899999999999999,200,295,0,0,366,0,0,182,0,0,0,0,2602,0
NSLC-0104-T01,EAGLE - NCI,0.94,157,2402,0,0,1962,0,0,1726,0,0,0,0,0,0
NSLC-0105-T01,EAGLE - NCI,0.95,111,0,0,0,490,0,0,0,0,0,0,0,876,0
NSLC-0106-T01,EAGLE - NCI,0.85,33,28,0,0,544,161,0,0,0,0,0,0,0,0
NSLC-0107-T01,EAGLE - NCI,0.7,370,0,0,0,952,0,507,295,70,287,0,0,4470,0
NSLC-0108-T01,EAGLE - NCI,0.8999999999999999,334,1821,0,0,6632,0,0,2081,0,0,0,0,0,0
NSLC-0109-T01,EAGLE - NCI,0.73,394,0,0,0,1293,0,0,0,527,777,0,0,2799,0
NSLC-0109-T02,EAGLE - NCI,0.8999999999999999,276,0,0,0,868,0,0,0,61,92,0,0,1612,0
NSLC-0109-T03,EAGLE - NCI,0.83,344,0,0,0,673,0,175,0,51,169,0,0,2017,0
NSLC-0109-T04,EAGLE - NCI,0.85,238,0,0,0,758,0,0,0,52,65,0,0,1416,0
NSLC-0109-T05,EAGLE - NCI,0.87,48,0,0,0,250,103,0,0,26,25,0,0,158,0
NSLC-0109-T06,EAGLE - NCI,0.74,14,0,0,0,68,0,0,0,6,1,0,0,39,0
NSLC-0109-T07,EAGLE - NCI,0.97,169,0,0,0,493,0,0,0,23,30,0,0,1052,0
NSLC-0110-T01,EAGLE - NCI,0.94,50,0,0,0,290,0,0,0,0,0,0,0,230,0
NSLC-0111-T01,EAGLE - NCI,0.97,152,0,0,0,512,0,0,0,0,0,0,0,1776,0
NSLC-0112-T01,EAGLE - NCI,0.76,366,163,0,0,1101,0,0,262,0,0,0,0,3403,0
NSLC-0113-T01,EAGLE - NCI,0.7899999999999999,153,0,0,3276,1098,0,0,0,0,0,0,0,4249,0
NSLC-0114-T01,Moffitt,0.74,556,0,0,0,2093,0,0,0,0,0,491,0,0,0
NSLC-0115-T01,Moffitt,0.96,435,305,0,0,961,0,0,422,0,0,0,0,6384,0
NSLC-0116-T01,Moffitt,0.86,246,108,0,0,393,0,0,0,0,0,0,0,2366,0
NSLC-0117-T01,Moffitt,0.72,138,0,0,3528,5287,0,0,0,0,0,1563,0,0,0
NSLC-0118-T01,Moffitt,0.8099999999999999,131,24401,0,0,6843,0,0,28196,0,0,0,0,0,0
NSLC-0119-T01,Moffitt,0.9199999999999999,46,0,631,0,1170,0,0,0,0,0,0,0,0,0
NSLC-0120-T01,Moffitt,0.73,222,234,0,0,3264,1854,0,325,0,0,0,0,0,0
NSLC-0121-T01,Moffitt,0.9299999999999999,122,0,0,0,376,0,0,0,0,0,0,0,574,0
NSLC-0122-T01,Moffitt,0.7,163,0,0,0,815,0,0,0,0,0,0,0,934,0
NSLC-0123-T01,Moffitt,0.71,265,0,0,0,691,0,0,0,0,0,1239,0,2259,0
NSLC-0124-T01,Laval - Quebec,0.9099999999999999,159,0,0,0,816,0,0,0,0,0,0,0,1151,0
NSLC-0125-T01,Laval - Quebec,0.7999999999999999,56,0,0,0,654,200,0,0,0,0,0,0,0,0
NSLC-0126-T01,Laval - Quebec,0.72,17,0,0,0,1942,0,0,0,0,0,0,0,0,0
NSLC-0127-T01,Laval - Quebec,0.9199999999999999,43,0,0,0,843,193,0,0,0,0,0,0,0,0
